outer_fold,inner_fold,C,weighting,kept,dropped,feature_count
2,2,1.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_rms_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_centroid_hz;envelope_rms,19
2,0,1.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
2,1,1.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
2,2,1.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_rms_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_centroid_hz;envelope_rms,19
2,0,10.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
2,1,10.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
2,2,10.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_rms_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_centroid_hz;envelope_rms,19
2,0,10.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
2,1,10.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
2,2,10.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_rms_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_centroid_hz;envelope_rms,19
3,0,0.1,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,1,0.1,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_rms_hz;envelope_rms,19
3,2,0.1,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,0,0.1,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,1,0.1,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_rms_hz;envelope_rms,19
3,2,0.1,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,0,1.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,1,1.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_rms_hz;envelope_rms,19
3,2,1.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,0,1.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,1,1.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_rms_hz;envelope_rms,19
3,2,1.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,0,10.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,1,10.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_rms_hz;envelope_rms,19
3,2,10.0,file_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,0,10.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
3,1,10.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;clearance_factor;spectral_rms_hz;envelope_rms,19
3,2,10.0,file_and_class_balanced,mean;std;peak_abs;skewness;kurtosis;crest_factor;shape_factor;clearance_factor;zero_cross_rate;spectral_centroid_hz;spectral_entropy;spectral_flatness;dominant_frequency_hz;rolloff95_hz;band_ratio_0_500;band_ratio_500_1500;band_ratio_1500_3000;band_ratio_3000_5500;envelope_kurtosis;envelope_spectral_entropy,rms;mean_abs;peak_to_peak;impulse_factor;spectral_rms_hz;envelope_rms,20
